Presidente,1º Vice,2º Vice,1º Secretário,2º Secretário
![PIMENTEL FILHO - PMDB](img/vereadores_photos/pimentel_filho.jpg),![ORLANDINO FARIAS - PSC](img/vereadores_photos/orlandino_farias.jpg),![MARINALDO CARDOSO - PRB](img/vereadores_photos/marinaldo_cardoso.jpg),![MURILO GALDINO - PSB](img/vereadores_photos/murilo_galdino.jpg),![IVAN BATISTA - PMDB](img/vereadores_photos/ivan_batista.jpg)
PIMENTEL FILHO,ORLANDINO FARIAS,MARINALDO CARDOSO,MURILO GALDINO,IVAN BATISTA
