Presidente,1º Vice,2º Vice,1º Secretário,2º Secretário
![NELSON GOMES - PRP](img/vereadores_photos/nelson_gomes.jpg),![MURILO GALDINO - PSB](img/vereadores_photos/murilo_galdino.jpg),![INÁCIO FALCÃO - PSDB](img/vereadores_photos/inacio_falcao.jpg),![PIMENTEL FILHO - PMDB](img/vereadores_photos/pimentel_filho.jpg),![RODRIGO RAMOS - PMN](img/vereadores_photos/rodrigo_ramos.jpg)
NELSON GOMES,MURILO GALDINO,INACIO FALCAO,PIMENTEL FILHO,RODRIGO RAMOS 
