Vereador,Cargo
ANTONIO ALVES PIMENTEL FILHO,PRESIDENTE
ORLANDINO PEREIRA DE FARIAS,1º VICE
JOSÉ MARINALDO CARDOSO,2º VICE
CASSIO MURILO GALDINO DE ARAUJO,1º SECRETARIO
IVAN OLIVEIRA BATISTA,2º SECRETARIO
