Vereador,Partido
Alexandre do Sindicato,PHS
Anderson Maia,PSB
Aragão Júnior,PTB
Cícero Buchada,PHS
Galego do Leite,PTN
Hercules Lafite,PSC
Ivan Batista,PSDB
Ivonete Ludgério,PSD
João Dantas,PSD
Marinaldo Cardoso,PRB
Miguel Rodrigues,PSC
Murilo Galdino,PSB
Napoleão Maracajá,PC do B
Nelson Gomes,PSDB
Olimpio Oliveira,PMDB
Orlandino Farias,PSC
Pimentel Filho,PSD
Pr. Josimar Henrique,PRB
Rodolfo Rodrigues,PR
Rodrigo Ramos,PDT
Saulo Noronha,DEM
Sargento Régis,PMN
Vaninho Aragão,DEM
